"Ref_N","Reference"
1220,"Desbiez, A. L. J., & Borges, P. A. L. (2010). Density, habitat selection and observations of South American coati Nasua nasua in the central region of the Brazilian Pantanal wetland. Small Carnivore Conservation, 42, 14-18."
1221,"Barreto, W. T. G., Herrera, H. M., de Macedo, G. C., Rucco, A. C., de Assis, W. O., Oliveira-Santos, L. G., & de Oliveira Porfírio, G. E. (2021). Density and survivorship of the South American coati (Nasua nasua) in urban areas in Central–Western Brazil. Hystrix, the Italian Journal of Mammalogy, 32(1)."
1222,"Timock, J., & Vaughan, C. (2002). A census of mammal populations in Punta Leona Private Wildlife Refuge, Costa Rica. Revista de biologia tropical, 50(3-4), 1169-1180."
1223,"Galetti, M., Brocardo, C. R., Begotti, R. A., Hortenci, L., Rocha‐Mendes, F., Bernardo, C. S. S., Bueno, R.S., Nobre, R., Bovendorp, R.S., Marques, R.M., Meirelles, F., Gobbo, S.K., Beca, G., Schmaedecke, G. & Siqueira, T. (2017). Defaunation and biomass collapse of mammals in the largest Atlantic forest remnant. Animal Conservation, 20(3), 270-281."
1224,"Novack, A. J., Main, M. B., Sunquist, M. E., & Labisky, R. F. (2005). Foraging ecology of jaguar (Panthera onca) and puma (Puma concolor) in hunted and non-hunted sites within the Maya Biosphere Reserve, Guatemala. Journal of Zoology, 267(2), 167-178."
1225,"Costa, E. M. J., Mauro, R. D. A., & Silva, J. S. V. (2009). Group composition and activity patterns of brown-nosed coatis in savanna fragments, Mato Grosso do Sul, Brazil. Brazilian Journal of Biology, 69, 985-991."
1226,"Walker, P. L. (1977). A population survey of kinkajous (Potos flavus) in a seasonally dry tropical forest. Journal of Mammalogy, 58(1), 100-102."
1227,"Arispe, R., Venegas, C., & Rumiz, D. (2008). Abundancia y patrones de actividad del mapache (Procyon cancrivorus) en un bosque chiquitano de Bolivia. Mastozoología neotropical, 15(2), 323-333."
1228,"Prange, S., Gehrt, S. D., & Wiggers, E. P. (2003). Demographic factors contributing to high raccoon densities in urban landscapes. The Journal of wildlife management, 324-333."
1229,"Rosatte, R., et al. (2010). Density, movements, and survival of raccoons in Ontario, Canada: implications for disease spread and management. Journal of Mammalogy, 91(1), 122-135."
1230,"Gross, J., Elvinger, F., Hungerford, L. L., & Gehrt, S. D. (2012). Raccoon use of the urban matrix in the Baltimore Metropolitan Area, Maryland. Urban Ecosystems, 15(3), 667-682."
1231,"Hill, J. E., Helton, J. L., Bernasconi, D. A., Dixon, W. C., Hamilton, M. T., Chipman, R. B., Gilbert, A.T., Beasley, J.C., Dharmaraja, G., & Rhodes Jr, O. E. (2023). Raccoon densities across four land cover types in the southeastern United States. The Journal of Wildlife Management, 87(8), e22480."
1232,"Urban, D. (1970). Raccoon populations, movement patterns, and predation on a managed waterfowl marsh. The Journal of Wildlife Management, 372-382."
1233,"Stuewer, F. W. (1943). Raccoons: their habits and management in Michigan. Ecological Monographs, 13(2), 203-257."
1234,"Riley, S. P., Hadidian, J., & Manski, D. A. (1998). Population density, survival, and rabies in raccoons in an urban national park. Canadian Journal of Zoology, 76(6), 1153-1164."
1235,"Blackwell, B. F., Seamans, T. W., White, R. J., Patton, Z. J., Bush, R. M., & Cepek, J. D. (2004). Exposure time of oral rabies vaccine baits relative to baiting density and raccoon population density. Journal of wildlife diseases, 40(2), 222-229."
1236,"Sonenshine, D. E., & Winslow, E. L. (1972). Contrasts in distribution of raccoons in two Virginia localities. The Journal of Wildlife Management, 838-847."
1237,"Kissell, R. E., Kennedy, M. L. (1992). Ecologic Relationships of Cooccurring Populations of Opossums (Didelphis-Virginiana) and Raccoons (Procyon-Lotor) in Tennessee. Journal of Mammalogy 73(4): 808-813"
1238,"Ríos-Uzeda, B., Gómez, H., & Wallace, R. B. (2007). A preliminary density estimate for Andean bear using camera-trapping methods. Ursus, 18(1), 124-128."
1239,"Molina, S., Fuller, A. K., Morin, D. J., & Royle, J. A. (2017). Use of spatial capture–recapture to estimate density of Andean bears in northern Ecuador. Ursus, 28(1), 117-126."
1240,"Rodríguez, D., et al. (2020). Andean bear (Tremarctos ornatus) population density and relative abundance at the buffer zone of the Chingaza National Natural Park, cordillera oriental of the colombian andes. Papéis Avulsos De Zoologia, 60, e20206030-e20206030."
1241,"Morrell, N. (2018). Conservation planning at multiple scales: a density model and spatial planning tool to facilitate the conservation of Andean bears (Tremarctos ornatus) and the Northern Andes (Doctoral dissertation, University of British Columbia)."
1242,"Osterman, W. H., Cornejo, F. M., & Osterman, J. (2021). An Andean bear population hotspot in Northern Peru. Ursus, 32: e12"
1243,"Bowersock, N. R., Litt, A. R., Sawaya, M. A., Gunther, K. A., & van Manen, F. T. (2023). Spatial variation in density of American black bears in northern Yellowstone National Park.ﾠThe Journal of Wildlife Management, e22497."
1244,"Welfelt, L. S., Beausoleil, R. A., & Wielgus, R. B. (2019). Factors Associated with black bear density and implications for management. The Journal of Wildlife Management 83(7):1527–1539"
1245,"Sollmann, R., Gardner, B., Belant, J. L., Wilton, C. M., & Beringer, J. (2016). Habitat associations in a recolonizing, low‐density black bear population. Ecosphere, 7(8)."
1246,"Fisher, J. T., Dickie, M., Burgar, J., Burton, C., & Serrouya, R. D. (2023). Density estimates of unmarked mammals: Comparing two models and assumptions across multiple species and years. Canadian Journal of Zoology, 102(3), 286-297."
1247,"Carroll, S. L., Schmidt, G. M., Waller, J. S., & Graves, T. A. (2024). Evaluating density-weighted connectivity of black bears (Ursus americanus) in Glacier National Park with spatial captureﾖrecapture models.ﾠMovement Ecology,ﾠ12(1), 8."
1248,"Boersen, M. R., Clark, J. D., & King, T. L. (2003). Estimating black bear population density and genetic diversity at Tensas River, Louisiana using microsatellite DNA markers. Wildlife Society Bulletin, 197-207."
1249,"Miller S. D. et al. (1997). Brown and black bear density estimation in Alaska using radiotelemetry and replicated mark-resight techniques. Wildlife Monographs, 3-55."
1250,"Azad, S., Mcfadden, K., Clark, J. D., Wactor, T., & Jachowski, D. S. (2019). Applying spatially explicit capture–recapture models to estimate black bear density in South Carolina. Wildlife Society Bulletin, 43(3), 500-507."
1251,"Puckett, E. E., & Eggert, L. S. (2020). Using Genetics in the Conservation Management of the American Black Bear (Ursus americanus) in Missouri. In Conservation Genetics in Mammals (pp. 217-228). Springer, Cham."
1252,"Alston, J. D., Clark, J. D., Gibbs, D. B., & Hast, J. (2022). Density, harvest rates, and growth of a reintroduced American black bear population. The Journal of Wildlife Management, e22298."
1253,"Peterson, S. D. (2023). Estimating black bear population parameters with spatial capture recapture in a high desert mountain ecosystem. MSc Thesis, Faculty of California Polytechnic University, Humboldt."
1254,"Alston, J. D. (2021). Bears in Big South Fork: A Spatially Explicit Density Estimate of a Reintroduced Population."
1255,"Gervasi, V., Ciucci, P., Boulanger, J., Randi, E., & Boitani, L. (2012). A multiple data source approach to improve abundance estimates of small populations: the brown bear in the Apennines, Italy. Biological Conservation, 152, 10-20."
1256,"McLellan, B. N. (1989). Dynamics of a grizzly bear population during a period of industrial resource extraction. I. Density and age–sex composition. Canadian Journal of Zoology, 67(8), 1856-1860."
1257,"Dupont, P., Milleret, C., Brøseth, Ø., Kindberg, J., and Bischof, R., 2022. Estimates of brown bear density, abundance, and population dynamics in Norway 2012 - 2021 - MINA fagrapport 82. 32pp ."
1258,"Kendall, K. C., Stetz, J. B., Roon, D. A., Waits, L. P., Boulanger, J. B., & Paetkau, D. (2008). Grizzly bear density in Glacier National Park, Montana. The Journal of Wildlife Management, 72(8), 1693-1705."
1259,"Anile, S., Augugliaro, C., Nasanbat, B., Ravchig, S., Tserendorj, U., Bombieri, G., Dartora F. & Jiménez, J. (2024). Population density and activity of the Gobi bear. Mammal Research, 69(3), 345-354."
1260,"Dupont, P., Milleret, C., Brøseth, Ø., Kindberg, J., and Bischof, R., 2023. Estimates of brown bear density, abundance, and population dynamics in Norway 2012 - 2022 - MINA fagrapport 86. 33pp ."
1261,"Gervasi, V., Ciucci, P., Boulanger, J., Posillico, M., Sulli, C., Focardi, S., Randi, E., & Boitani, L. (2008). A preliminary estimate of the Apennine brown bear population size based on hair-snag sampling and multiple data source mark–recapture Huggins models. Ursus, 19(2), 105-122."
1262,"Kendall, K. C., Graves, T. A., Royle, J. A., Macleod, A. C., McKelvey, K. S., Boulanger, J., & Waller, J. S. (2019). Using bear rub data and spatial capture-recapture models to estimate trend in a brown bear population. Scientific reports, 9."
1263,"Schmidt, J. H., Robison, H. L., Parrett, L. S., Gorn, T. S., & Shults, B. S. (2021). Brown Bear Density and Estimated Harvest Rates in Northwestern Alaska. The Journal of Wildlife Management, 85(2), 202-214."
1264,"Barrueto, M., Jessen, T. D., Diepstraten, R., & Musiani, M. (2023). Density and genetic diversity of grizzly bears at the northern edge of their distribution. Ecosphere, 14(6), e4523."
1265,"Whittington, J., Hebblewhite, M., & Chandler, R. B. (2018). Generalized spatial mark–resight models with an application to grizzly bears. Journal of Applied Ecology, 55(1), 157-168."
1266,"Ciucci, P., Gervasi, V., Boitani, L., Boulanger, J., Paetkau, D., Prive, R., & Tosoni, E. (2015). Estimating abundance of the remnant Apennine brown bear population using multiple noninvasive genetic data sources. Journal of Mammalogy, 96(1), 206-220."
1267,"McLellan, M. L., McLellan, B. N., Sollmann, R., Lamb, C. T., Apps, C. D., & Wittmer, H. U. (2019). Divergent population trends following the cessation of legal grizzly bear hunting in southwestern British Columbia, Canada. Biological Conservation, 233, 247-254."
1268,"Whittington, J., & Sawaya, M. A. (2015). A comparison of grizzly bear demographic parameters estimated from non-spatial and spatial open population capture-recapture models. PloS one, 10(7), e0134446."
1269,"Jerina, K., Jonozovič, M., Krofel, M., & Skrbinšek, T. (2013). Range and local population densities of brown bear Ursus arctos in Slovenia. European Journal of Wildlife Research, 59(4), 459-467."
1270,"Støen, O. G., Zedrosser, A., Sæbø, S., & Swenson, J. E. (2006). Inversely density-dependent natal dispersal in brown bears Ursus arctos. Oecologia, 148(2), 356."
1271,"Baskaya, E., Gundogdu, E., & Baskaya, Ş. (2022). Brosn bear (Ursus arctos) population density in the Eastern Black sea mountains in Turkiye. Applied Ecology and Environmental Research, 20(4): 3581-3595"
1272,"Groff C., Dalpiaz D., Rizzoli R., Zanghellini P. (editors), 2012, ""2011 Bear Report, Forestry and Wildlife Department of the Autonomous Province of Trento”"
1273,"Singer, F. J., & Dalle-Molle, J. (1985). The Denali ungulate-predator system. Alces 21: 339-358"
1274,"Огурцов, С. С. (2023). ОЦЕНКА ПЛОТНОСТИ И ЧИСЛЕННОСТИ ПОПУЛЯЦИОННОЙ ГРУППИРОВКИ БУРОГО МЕДВЕДЯ С ПОМОЩЬЮ ФОТОЛОВУШЕК В ЦЕНТРАЛЬНО-ЛЕСНОМ ЗАПОВЕДНИКЕ (ЗАПАД ЕВРОПЕЙСКОЙ РОССИИ). Nature Conservation Research. Заповедная наука, 8(2), 1-21."
1275,"Skrbinšek, T., Luštrik, R., Majić-Skrbinšek, A., Potočnik, H., Kljun, F., Jelenčič, M., Kos, I., & Trontelj, P. (2019). From science to practice: genetic estimate of brown bear population size in Slovenia and how it influenced bear management. European Journal of Wildlife Research, 65(2), 29."
1276,"Lamb, C. T., Mowat, G., Reid, A., Smit, L., Proctor, M., McLellan, B. N., Nielsen, S.E., & Boutin, S. (2018). Effects of habitat quality and access management on the density of a recovering grizzly bear population. Journal of applied ecology, 55(3), 1406-1417."
1277,"Schmidt, J. H., Rattenbury, K. L., Robison, H. L., Gorn, T. S., & Shults, B. S. (2017). Using non-invasive mark-resight and sign occupancy surveys to monitor low-density brown bear populations across large landscapes. Biological Conservation, 207, 47-54."
1278,"Ahmad, F., Mori, T., Rehan, M., Bosso, L., & Kabir, M. (2024). Applying a Random Encounter Model to Estimate the Asiatic Black Bear (Ursus thibetanus) Density from Camera Traps in the Hindu Raj Mountains, Pakistan. Biology, 13(5), 341."
1279,"Palomares, F., & Delibes, M. (1994). Spatio-temporal ecology and behavior of European genets in southwestern Spain. Journal of Mammalogy, 75(3), 714-724."
1280,"黄琰彬.(2023).福建君子峰国家级自然保护区果子狸种群数量及活动规律. 淮北师范大学学报(自然科学版)(03),61-65. "
1281,"Wang, D., Zhang, D., Bu, H., Hopkins, J. B., Xiong, M., Wang, D., Yao, M., Li Sheng & Wang, R. (2024). Estimating the Population Size of Masked Palm Civets Using Hair-Snaring in Southwest China. Diversity, 16(7), 421."
1282,"Supartono, T., Adhya, I., Hendrayana, Y., Kosasih, D., & Yudayana, B. (2021). Use of faecal pellet count method in estimating population density of mammals in Gunung Ciremai National Park. In IOP Conference Series: Earth and Environmental Science Vol. 819, No. 1, p. 012079"
1283,"Mohamed, A., Sollmann, R., Bernard, H., Ambu, L. N., Lagan, P., Mannan, S., Hofer, H., & Wilting, A. (2013). Density and habitat use of the leopard cat (Prionailurus bengalensis) in three commercial forest reserves in Sabah, Malaysian Borneo. Journal of Mammalogy, 94(1), 82-89."
1284,"Leu, M., Hanser, S. E., Aldridge, C. L., Nielsen, S. E., Suring, L. H., & Knick, S. T. (2011). Occurrence of large and medium-sized mammals: occurrence but not count models predict pronghorn distribution. Sagebrush ecosystem conservation and management: ecoregional assessment tools and models for the Wyoming Basins. Allen Press, Lawrence, KS, 315-336."
1285,"Doniol-Valcroze, T., Gosselin, J. F., Pike, D. G., Lawson, J. W., Asselin, N. C., Hedges, K. J., & Ferguson, S. H. (2019). Distribution and abundance of the Eastern Canada–West Greenland bowhead whale population based on the 2013 High Arctic Cetacean Survey. NAMMCO Scientific Publications, 11."
1286,"Hammond, P. S., Benke, H., Breggren, P., Collet, A., Heide-Jørgensen, M. P., Heimlich-Boran, S. Leopold, M., Øien, N. (1995). The distribution and abundance of harbour porpoises and other small cetaceans in the North Sea and adjacent waters. ICES."
